town,pop2010,land-sq-miles-2010,density2010
Andover,3303,15.45,213.8
Ansonia,19249,6.02,3198.1
Ashford,4317,38.76,111.4
Avon,18098,23.15,781.6
Barkhamsted,3799,36.25,104.8
Beacon Falls,6049,9.67,625.7
Berlin,19866,26.32,754.7
Bethany,5563,21.13,263.3
Bethel,18584,16.89,1100.4
Bethlehem,3607,19.38,186.2
Bloomfield,20486,26.09,785.3
Bolton,4980,14.41,345.7
Bozrah,2627,19.96,131.6
Branford,28026,21.83,1283.6
Bridgeport,144229,15.97,9029.1
Bridgewater,1727,16.40,105.3
Bristol,60477,26.41,2289.8
Brookfield,16452,19.77,832.0
Brooklyn,8210,29.09,282.2
Burlington,9301,29.74,312.7
Canaan,1234,32.91,37.5
Canterbury,5132,39.94,128.5
Canton,10292,24.59,418.6
Chaplin,2305,19.43,118.6
Cheshire,29261,33.07,884.8
Chester,3994,16.05,248.8
Clinton,13260,16.21,818.2
Colchester,16068,48.98,328.0
Colebrook,1485,31.53,47.1
Columbia,5485,21.37,256.6
Cornwall,1420,46.06,30.8
Coventry,12435,37.57,331.0
Cromwell,14005,12.45,1124.7
Danbury,80893,41.89,1931.0
Darien,20732,12.66,1638.2
Deep River,4629,13.51,342.5
Derby,12902,5.06,2552.1
Durham,7388,23.66,312.3
East Granby,5148,17.56,293.1
East Haddam,9126,54.25,168.2
East Hampton,12959,35.65,363.5
East Hartford,51252,18.00,2847.9
East Haven,29257,12.30,2377.7
East Lyme,19159,34.00,563.6
East Windsor,11162,26.25,425.2
Eastford,1749,28.92,60.5
Easton,7490,27.42,273.2
Ellington,15602,34.06,458.1
Enfield,44654,33.27,1342.2
Essex,6683,10.40,642.4
Fairfield,59404,29.90,1986.6
Farmington,25340,28.02,904.5
Franklin,1922,19.49,98.6
Glastonbury,34427,51.27,671.5
Goshen,2976,43.63,68.2
Granby,11282,40.68,277.3
Greenwich,61171,47.62,1284.5
Griswold,11951,34.71,344.3
Groton,40115,31.03,1292.7
Guilford,22375,47.12,474.9
Haddam,8346,43.94,190.0
Hamden,60960,32.65,1867.3
Hampton,1863,25.09,74.2
Hartford,124775,17.38,7178.9
Hartland,2114,33.08,63.9
Harwinton,5642,30.79,183.2
Hebron,9686,36.94,262.2
Kent,2979,48.55,61.4
Killingly,17370,48.31,359.6
Killingworth,6525,35.33,184.7
Lebanon,7308,54.10,135.1
Ledyard,15051,38.22,393.8
Lisbon,4338,16.29,266.3
Litchfield,8466,56.10,150.9
Lyme,2406,31.84,75.6
Madison,18269,36.15,505.4
Manchester,58241,27.40,2125.4
Mansfield,26543,44.60,595.1
Marlborough,6404,23.35,274.2
Meriden,60868,23.79,2558.2
Middlebury,7575,17.75,426.7
Middlefield,4425,12.65,349.8
Middletown,47648,41.02,1161.6
Milford,52759,22.18,2379.2
Monroe,19479,26.07,747.1
Montville,19571,41.95,466.5
Morris,2388,17.35,137.7
Naugatuck,31862,16.31,1953.8
New Britain,73206,13.39,5466.0
New Canaan,19738,22.19,889.3
New Fairfield,13881,20.44,679.0
New Hartford,6970,37.04,188.2
New Haven,129779,18.68,6948.0
New London,27620,5.62,4918.7
New Milford,28142,61.57,457.1
Newington,30562,13.14,2325.7
Newtown,27560,57.66,478.0
Norfolk,1709,45.32,37.7
North Branford,14407,24.76,581.9
North Canaan,3315,19.47,170.3
North Haven,24093,20.84,1156.1
North Stonington,5297,54.25,97.6
Norwalk,85603,22.86,3744.7
Norwich,40493,28.06,1443.0
Old Lyme,7603,23.02,330.3
Old Saybrook,10242,15.04,680.8
Orange,13956,17.18,812.3
Oxford,12683,32.74,387.4
Plainfield,15405,42.36,363.7
Plainville,17716,9.71,1824.4
Plymouth,12243,21.89,559.2
Pomfret,4247,40.33,105.3
Portland,9508,23.35,407.2
Preston,4726,30.82,153.4
Prospect,9405,14.23,661.1
Putnam,9584,20.30,472.0
Redding,9158,31.50,290.7
Ridgefield,24638,34.52,713.8
Rocky Hill,19709,13.45,1464.9
Roxbury,2262,26.30,86.0
Salem,4151,28.92,143.5
Salisbury,3741,57.24,65.4
Scotland,1726,18.63,92.6
Seymour,16540,14.52,1139.3
Sharon,2782,58.77,47.3
Shelton,39559,30.63,1291.7
Sherman,3581,21.89,163.6
Simsbury,23511,33.92,693.1
Somers,11444,28.37,403.4
South Windsor,25709,28.06,916.1
Southbury,19904,38.99,510.5
Southington,43069,35.91,1199.3
Sprague,2984,13.25,225.2
Stafford,12087,58.04,208.3
Stamford,122643,37.64,3258.4
Sterling,3830,27.22,140.7
Stonington,18545,38.66,479.7
Stratford,51384,17.48,2939.4
Suffield,15735,42.26,372.3
Thomaston,7887,11.97,659.0
Thompson,9458,46.90,201.7
Tolland,15052,39.63,379.8
Torrington,36383,39.75,915.2
Trumbull,36018,23.32,1544.3
Union,854,28.80,29.7
Vernon,29179,17.70,1648.6
Voluntown,2603,38.96,66.8
Wallingford,45135,39.04,1156.1
Warren,1461,26.31,55.5
Washington,3578,38.07,94.0
Waterbury,110366,28.52,3869.9
Waterford,19517,32.77,595.6
Watertown,22514,29.01,776.2
West Hartford,63268,21.84,2897.3
West Haven,55564,10.75,5170.3
Westbrook,6938,15.78,439.6
Weston,10179,19.80,514.1
Westport,26391,19.96,1322.3
Wethersfield,26668,12.31,2166.3
Willington,6041,33.29,181.4
Wilton,18062,26.80,673.8
Winchester,11242,32.51,345.8
Windham,25268,26.97,936.8
Windsor Locks,12498,9.02,1385.0
Windsor,29044,29.50,984.4
Wolcott,16680,20.43,816.3
Woodbridge,8990,18.81,477.9
Woodbury,9975,36.40,274.0
Woodstock,7964,60.65,131.3